"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C2,C1";"C_0402_1005Metric";2;"12..22";;;
2;"J1.4";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Button Matrix D";;;
3;"J1.3";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Button Matrix C";;;
4;"J1.1";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Button Matrix A";;;
5;"J1";"PinHeader_2x04_P2.54mm_Vertical_SMD";1;"4X4 Button Matrix";;;
6;"J1.1.3";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 5";;;
7;"J1.1.1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 1";;;
8;"J1.1.2";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 2";;;
9;"J4";"RJ45_Molex_0855135013_Vertical";1;"RJ45";;;
10;"J1.2.2";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 4";;;
11;"J3";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"AVR-ISP";;;
12;"J1.2.1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 3";;;
13;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"Reset";;;
14;"Y1";"Crystal_HC18-U_Vertical";1;"Crystal";;;
15;"U1";"DIP-28_W7.62mm";1;"ATmega328P-P";;;
16;"J1.1.4";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 6";;;
17;"J1.2";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Button Matrix B";;;
