"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J1.1.3";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 5";;;
2;"J1.1.1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 1";;;
3;"J1.3";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Matrix C";;;
4;"C2,C1";"C_0402_1005Metric";2;"12..22 pF";;;
5;"J3";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"I2C";;;
6;"J5";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Joystick";;;
7;"J1.1.2";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 2";;;
8;"J4";"RJ45_Molex_0855135013_Vertical";1;"RJ45";;;
9;"J1.2.2";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 4";;;
10;"U1";"DIP-28_W7.62mm";1;"ATmega328P-P";;;
11;"J2";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"AVR-ISP";;;
12;"J1.2";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Matrix B";;;
13;"Y1";"Crystal_HC18-U_Vertical";1;"Crystal";;;
14;"J1.2.1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 3";;;
15;"J1.4";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Matrix D";;;
16;"J1";"PinHeader_2x04_P2.54mm_Vertical_SMD";1;"4X4 Matrix";;;
17;"J1.1.4";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Button 6";;;
18;"C3";"C_1206_3216Metric";1;"10 µF";;;
19;"J1.1";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"2X2 Matrix A";;;
